book_name,book_author,book_isbn,book_pubtime,book_digest,book_sub_num,book_state,pic_name,book_pic_path,createduser,modifieduser,createdtime,modifiedtime
宝石学与宝石鉴定,孟祥振、赵梅芳,9787810586740,2004-01-01,本书是作者在长期工作实践和近几年宝石专业教学的基础上并参考了国内外一些最新研究资料编著而成的。全书共二十三章及附录，系统阐述了宝石学基础理论和宝石学专业知识。作者在书中多处提出自己的见解及经过综合分析得出的客观结论。书中所涉及的一些概念、定义，力求科学严密、清晰明确；计量单位（包括量的名称、符号）采用的是国家法定计量单位；宝石基本名称，符合国家标准规范要求。在常用鉴定仪器与鉴定方法章节中，介绍了十余种仪器的构造、工作原理、使用方法和注意事项。在宝石各论中，介绍了七十余种常见宝石的性质、特征、鉴别、品质优劣评价等，其内容繁简有别，珍贵宝石如钻石、红（蓝）宝石、翡翠等，内容较为详细。,0,0,宝石学与宝石鉴定.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-10-31 11:02:37,2023-11-01 15:03:49
泵维护与检修（第二版）,杨雨松,9787122252715,2016-05-01,本书对泵的类型、结构、工作原理、维护与检修进行了全面详细的讲解，根据典型工作任务，全书共设计认识泵、泵的整体安装、悬臂式和双支承离心泵维护与检修、多级泵维护与检修、特殊泵维护与检修五个教学情境。 ,0,0,泵维护与检修（第二版）.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-06-24 11:02:37,2023-06-25 15:03:49
笔记本电脑的结构、原理与维修,韩雪涛,9787121379468,2019-11-01,本书根据笔记本电脑维修的技能特色划分为笔记本电脑的结构和工作原理、笔记本电脑检修的基础技能、笔记本电脑CPU及散热系统的检修方法、笔记本电脑内存的检修方法、笔记本电脑主板的检修方法、笔记本电脑液晶屏的检修方法、笔记本电脑键盘和触摸装置的检修方法、笔记本电脑电源供电电路的检修方法8个项目模块。 ,0,0,笔记本电脑的结构、原理与维修.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-08-16 11:02:37,2023-08-17 15:03:49
笔记本电脑维修从入门到精通,高宏泽,"9787111512974	",2015-09-01,本书将笔记本电脑的测试、维护、维修、组网联网、数据恢复、加密等知识进行了系统的归纳总结，同时结合大量的图片、操作流程和实例，力争讲解得足够详细。 ,0,0,笔记本电脑维修从入门到精通.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-08-14 11:02:37,2023-08-15 15:03:49
变频器、软启动器及PLC实用技术手册,方大千、朱丽宁,9787122256188,2016-01-01,本书较全面、详细地介绍了变频器、软启动器和PLC的基本知识、选择、安装、使用、维护与故障处理等内容。具体包括变频器基本知识，变频器的选择、安装、参数设置及指令使用，变频器的配套设备，变频器实用线路，变频器的维护与故障处理；软启动器基本知识，软启动器的选择、安装与使用，软启动器实用线路，软启动器的维护与故障处理；PLC基本知识，PLC的选择、安装，梯形图的绘制和编程，PLC实用线路，PLC的维护与故障处理。另外，还介绍了变频器、PLC的抗干扰措施和接地方法，以及典型产品的技术参数。 本书通俗易懂，重点突出，紧密结合实际，实例多，可供电工及电气技术人员学习使用。,0,0,变频器、软启动器及PLC实用技术手册.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-06-09 11:02:37,2023-06-10 15:03:49
变频器维修从入门到精通,李宗喜,9787122330987,2019-04-01,本书根据变频器应用和维修技术人员的阅读需要，结合作者多年的教学、培训和应用实践，全面介绍了变频器从电路构成、重要元件的性能与检测到故障检修思路和方法，以及故障实例分析等变频器检修和应用中遇到的实际问题，既突出实用技能，又兼顾基础知识，帮助读者掌握变频器维修的各项技能。,0,0,变频器维修从入门到精通.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-06-08 11:02:37,2023-06-09 15:03:49
变色龙,[俄]契诃夫,9787544714464,2011-01-01,本书收录了数十篇契诃夫的经典中短篇小说，包括：《夜莺演唱会》、《坏孩子》、《胖子和瘦子》、《变色龙》、《套中人》等。 ,0,0,变色龙.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2024-02-13 11:02:37,2024-02-14 15:03:49
濒湖脉学译注,李时珍,9787513213950,2013-05-01,《濒湖脉学》为明代医药学家李时珍编著，书中采撷古代各家论脉精华，归纳成27种脉象，并将脉象、相类脉鉴别、脉象主病等，用韵语编成歌诀，读之朗朗上口，易诵易记，是后世学习脉学的样本，为历代医家所推崇。《濒湖脉学译注》对《濒湖脉学》进行了翻译和注释，译文采用浅显易懂的现代汉语，并注意押韵，以利于朗读和背诵，同时对书中难懂的古汉语词汇和医学名词术语，做了详细的解释，为学习脉学提供了重要的参考。,0,0,濒湖脉学译注.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-02-04 11:02:37,2023-02-05 15:03:49
病理学（第4版）,王恩华、李庆昌,9787040554106,2021-02-01,本书由中国医科大学王恩华、李庆昌教授担任主编。《病理学》4 版在3 版的基础上新增典型图片及模式图，引入“调节性细胞死亡”“宫颈上皮内病变”等概念，增加了肿瘤的微环境、免疫逃逸和能量代谢异常等研究热点问题，介绍了新型冠状病毒肺炎和埃博拉出血热的基本病理变化，以及ESD 的应用及GIST 的危险度分级、生物信息分析和人工智能的相关内容。本教材配数字课程，内容包括微视频、教学PPT、自测题等。 本书不仅适用于高等学校临床、基础、预防、护理、口腔、检验、药学等专业学生，也可供临床医务工作者和生命科学研究人员参考使用，同时适应国家执业医师资格考试和研究生入学考试的需要。,0,0,病理学（第4版）.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-02-18 11:02:37,2023-02-19 15:03:49
博物馆里的大唐之美,郑毅,9787520712057,2021-05-01,《博物馆里的大唐之美》是一本图文并茂的介绍唐朝文物的书籍，作者讲述了每幅字画、每件器物背后的故事以及当时的历史故事，不仅如此，书中还配有优质的图片，完整地展示了每一件精美的文物。我们通过作者的描述能够领悟文物的美以及能了解历史、了解中国的传统文化，这是一本值得珍藏的文化精品。,0,0,博物馆里的大唐之美.jpg,C:\Users\lenovo\Desktop\新书推荐\封面,汽车图书馆,汽车图书馆,2023-11-09 11:02:37,2023-11-10 15:03:49
